nombre,grupo,MW,dG_P-gp_MDR1,dG_CYP3A4,dG_TfR1,dG_FRalpha,dG_Lisozima,dG_HSA,dG_P-gp_MDR1_n,dG_CYP3A4_n,dG_TfR1_n,dG_FRalpha_n,dG_Lisozima_n,dG_HSA_n,score_targeting,score_eflujo,score_transporte,score_biocompat,ratio_TE,mw_factor,ITI_raw,ITI_score,perfil
Triethylene glycol,ligandos_targeting,150.174,-3.918,-4.507,-3.896,-4.746,-3.115,-3.613,0.7241929964640127,0.5538587680639541,0.6544673284931102,0.6347879532882605,0.6597753956100051,0.586124018586765,0.6446276408906854,0.6390258822639834,0.586124018586765,0.6597753956100051,0.9932233189869782,1.0,0.4538660107392904,100.0,Favorable
Tetraethylenepentamine,oligomeros_unidades,189.307,-4.551,-4.847,-4.867,-5.784,-3.708,-3.169,0.6519904186152617,0.5190119913907962,0.5105941620980886,0.5071911493546405,0.5084226646248086,0.6572664637077392,0.5088926557263646,0.585501205003029,0.6572664637077392,0.5084226646248086,0.8545619243940507,1.0,0.39559469300526007,87.3,Favorable
Pentaethylenehexamine,oligomeros_unidades,232.376,-4.735,-5.074,-5.005,-5.803,-3.582,-3.589,0.6310026234743925,0.4957466434354822,0.4901466883982813,0.5048555623847573,0.5405819295558959,0.5899695561608717,0.49750112539151925,0.5633746334549373,0.5899695561608717,0.5405819295558959,0.8676720181947478,1.0,0.38501490460045573,85.0,Favorable
Chitotriose,oligomeros_unidades,501.486,-6.29,-6.578,-5.46,-5.446,-3.873,-4.901,0.4536329417132428,0.34160090191657266,0.4227292932286265,0.5487400122925631,0.4663093415007657,0.379746835443038,0.4857346527605948,0.3976169218149077,0.379746835443038,0.4663093415007657,1.191644965566859,1.0,0.3835371724344967,84.68,Favorable
Chitobiose,oligomeros_unidades,340.329,-6.135,-5.636,-5.679,-5.084,-3.983,-4.521,0.4713128778373446,0.43814697140514497,0.3902800414876278,0.5932390903503382,0.4382337927514038,0.4406345136997276,0.49175956591898295,0.4547299246212448,0.4406345136997276,0.4382337927514038,1.0581620417918371,1.0,0.3746628419809445,82.74,Favorable
D-Galactose,ligandos_targeting,180.156,-5.596,-5.207,-5.275,-5.677,-3.39,-4.5,0.532793429907608,0.4821154043250999,0.45014076159431027,0.5203441917639828,0.5895865237366003,0.443999359077071,0.48524247667914655,0.507454417116354,0.443999359077071,0.5895865237366003,0.9377492212421016,1.0,0.3697095816277552,81.66,Favorable
D-Mannose,ligandos_targeting,180.156,-5.59,-5.22,-5.286,-5.67,-3.384,-4.502,0.5334778145317668,0.4807830275699498,0.44851089050229676,0.5212046711739398,0.5911179173047474,0.44367889761256213,0.48485778083811826,0.5071304210508583,0.44367889761256213,0.5911179173047474,0.9375928413819498,1.0,0.3696792314602996,81.66,Favorable
Lactic acid dimer,oligomeros_unidades,162.141,-4.879,-5.03,-5.102,-5.645,-3.33,-4.518,0.614577392494582,0.5002562262990673,0.4757741887687065,0.5242778119237862,0.6049004594180705,0.441115205896491,0.5000260003462463,0.5574168093968246,0.441115205896491,0.6049004594180705,0.8812322653567207,1.0,0.364642798531518,80.56,Favorable
N-Acetylglucosamine,monomeros_degradacion,221.209,-5.372,-6.225,-5.616,-6.215,-3.514,-4.174,0.5583437892095358,0.3777800553448806,0.3996147577418878,0.4542102028272895,0.5579377233282288,0.49623457779202046,0.42691248028458867,0.4680619222772082,0.49623457779202046,0.5579377233282288,0.893006659578798,1.0,0.35560768829270484,78.59,Favorable
Chondroitin sulfate disaccharide,ligandos_targeting,555.445,-6.464,-6.661,-5.791,-5.778,-4.17,-4.894,0.4337857876126382,0.33309418878753716,0.37368499036894354,0.5079287031346037,0.3905053598774886,0.3808684505688191,0.4408068467517736,0.3834399882000877,0.3808684505688191,0.3905053598774886,1.12039157170673,1.0,0.35405827984405264,78.25,Favorable
Glucosamine,monomeros_degradacion,179.172,-5.7,-5.165,-5.666,-6.009,-3.314,-4.472,0.5209307630888559,0.48642000614943115,0.3922062527781894,0.47953288260602334,0.6089841755997958,0.4484858195801954,0.4358695676921064,0.5036753846191435,0.4484858195801954,0.6089841755997958,0.8485311555570741,1.0,0.34585770198290056,76.46,Favorable
Ethyl acrylate,oligomeros_unidades,100.117,-4.317,-4.273,-3.754,-4.46,-2.573,-3.537,0.678681418957454,0.5778415496566568,0.6755074825900135,0.6699446834665028,0.798111281265952,0.5983015542381029,0.6727260830282582,0.6282614843070554,0.5983015542381029,0.798111281265952,1.0539976162882836,0.7,0.3413986299363381,75.49,Favorable
N-Acetylneuraminic acid,ligandos_targeting,309.271,-6.98,-6.313,-6.045,-5.891,-4.064,-5.285,0.3749287099349834,0.36876088961771036,0.33604978515335615,0.49403810694529815,0.4175599795814191,0.31821823425733053,0.41504394604932715,0.3718447997763469,0.31821823425733053,0.4175599795814191,1.0869440838068911,1.0,0.332707350045993,73.6,Favorable
Methyl methacrylate,oligomeros_unidades,100.117,-4.529,-4.248,-3.871,-4.464,-2.52,-3.984,0.654499828903844,0.5804038126473301,0.6581715809749592,0.6694529809465274,0.8116385911179174,0.5266784169203653,0.6638122809607433,0.617451820775587,0.5266784169203653,0.8116385911179174,1.0579494058049133,0.7,0.3311945273613106,73.27,Favorable
Methyl 3-aminopropionate,oligomeros_unidades,103.121,-3.711,-3.607,-3.871,-4.443,-2.563,-3.378,0.7478042659974905,0.6461002357281951,0.6581715809749592,0.6720344191763984,0.8006636038795304,0.6237782406665598,0.6651030000756788,0.6969522508628427,0.6237782406665598,0.8006636038795304,0.9408032851779077,0.7,0.3297766260511952,72.96,Favorable
2-(2-Aminoethoxy)ethanol,oligomeros_unidades,105.137,-3.559,-3.761,-3.862,-4.085,-3.356,-3.121,0.765142009809513,0.6303166957056472,0.659505111868425,0.7160417947141979,0.5982644206227667,0.6649575388559527,0.6877734532913115,0.6977293527575801,0.6649575388559527,0.5982644206227667,0.9718029224187001,0.7,0.32925389217540335,72.85,Favorable
Glucosamine-6-sulfate,ligandos_targeting,259.236,-6.207,-5.952,-5.808,-6.621,-3.635,-4.54,0.46310026234743923,0.4057599672030337,0.3711660986812862,0.4043023970497849,0.5270546197039306,0.43759012978689316,0.38773424786553556,0.43443011477523646,0.43759012978689316,0.5270546197039306,0.8724301863784052,1.0,0.3281842561376724,72.61,Favorable
Bis(2-aminoethyl) ether,oligomeros_unidades,104.153,-3.625,-3.893,-3.839,-4.313,-3.301,-3.124,0.7576137789437664,0.6167879471148918,0.6629130241517261,0.6880147510755993,0.6123021949974476,0.6644768466591893,0.6754638876136627,0.6872008630293291,0.6644768466591893,0.6123021949974476,0.9688225064420897,0.7,0.32766154506156664,72.5,Favorable
Glucuronic acid,ligandos_targeting,194.139,-6.081,-5.761,-6.001,-6.049,-3.582,-4.968,0.4774723394547735,0.4253356564517782,0.3425692695214106,0.4746158574062692,0.5405819295558959,0.36901137638199005,0.4085925634638399,0.45140399795327585,0.36901137638199005,0.5405819295558959,0.8855418792994856,1.0,0.32286247906471693,71.45,Favorable
Diethylenetriamine,oligomeros_unidades,103.169,-3.65,-3.946,-4.272,-4.554,-2.997,-2.959,0.7547621763431047,0.6113559495746643,0.5987553711660987,0.6583896742470805,0.6898928024502298,0.6909149174811728,0.6285725227065896,0.6830590629588845,0.6909149174811728,0.6898928024502298,0.9069537595006956,0.7,0.32084529478844737,71.01,Favorable
Lactic acid trimer,oligomeros_unidades,234.204,-6.003,-5.893,-5.488,-6.459,-4.117,-4.907,0.48636933956883766,0.41180690786102286,0.4185805304489554,0.42421634910878925,0.40403266972945384,0.3787854510495113,0.4213984397788723,0.44908812371493023,0.3787854510495113,0.40403266972945384,0.9179031606588428,1.0,0.31942571834931344,70.7,Favorable
Glycolide,monomeros_degradacion,116.072,-3.674,-4.27,-4.24,-4.425,-2.706,-3.854,0.7520246378464698,0.5781490212155376,0.6034968143428656,0.6742470805162877,0.7641653905053599,0.5475084121134434,0.6388719474295766,0.6650868295310037,0.5475084121134434,0.7641653905053599,0.9463552234805317,0.7,0.3127742408606155,69.26,Favorable
Diglycolic acid,oligomeros_unidades,134.087,-3.841,-4.408,-4.317,-4.624,-2.857,-3.577,0.7329759324740504,0.5640053295070205,0.5920877166987703,0.6497848801475108,0.7256253190403267,0.591892324947925,0.6209362984231406,0.6484906309905354,0.591892324947925,0.7256253190403267,0.9429690707810016,0.7,0.3127976847850381,69.26,Favorable
Arginine,ligandos_targeting,174.204,-4.794,-5.604,-5.349,-6.517,-3.909,-4.649,0.6242728413368314,0.4414266680332069,0.4391761742480368,0.41708666256914567,0.4571209800918837,0.4201249799711585,0.42813141840859126,0.5328497546850192,0.4201249799711585,0.4571209800918837,0.7886738728601036,1.0,0.31280768500694456,69.26,Favorable
Tris(2-aminoethyl)amine,oligomeros_unidades,146.238,-4.134,-4.676,-4.308,-4.224,-4.153,-3.485,0.6995551499942967,0.5365378702470021,0.5934212475922359,0.6989551321450522,0.3948443083205719,0.6066335523153341,0.6461881898686441,0.6180465101206494,0.6066335523153341,0.3948443083205719,1.0288858857674563,0.7,0.3066215334205479,67.91,Favorable
Paclitaxel,farmacos_modelo,853.918,-10.267,-9.861,-8.158,-9.631,-4.846,-6.898,0.0,0.005124525981346616,0.022966365387464976,0.03429625076828518,0.21796835119959165,0.05976606313090855,0.028631308077875076,0.002562262990673308,0.05976606313090855,0.21796835119959165,2.279152100153613,1.0,0.2935147792743298,65.06,Moderado
epsilon-Caprolactone,monomeros_degradacion,114.144,-4.188,-5.055,-4.177,-5.397,-2.844,-4.309,0.6933956883768678,0.497693963308394,0.6128315305971256,0.5547633681622618,0.7289433384379786,0.4746034289376702,0.5837974493796937,0.5955448258426309,0.4746034289376702,0.7289433384379786,0.9640862649058636,0.7,0.29283812930526854,64.91,Moderado
Glutaric acid,monomeros_degradacion,132.115,-4.595,-5.012,-4.548,-5.214,-3.322,-4.049,0.6469715980380975,0.5021010556523522,0.5578604237664839,0.577258758451137,0.6069423175089331,0.5162634193238262,0.5675595911088105,0.5745363268452248,0.5162634193238262,0.6069423175089331,0.9709569192593406,0.7,0.2881503251918774,63.89,Moderado
Succinic acid,monomeros_degradacion,118.088,-4.265,-4.53,-4.659,-5.019,-3.14,-3.991,0.6846127523668302,0.5515014861125346,0.5414135427470738,0.6012292562999385,0.6533945890760592,0.5255568017945842,0.5713213995235061,0.6180571192396824,0.5255568017945842,0.6533945890760592,0.9096647136412372,0.7,0.2858720495669784,63.39,Moderado
6-Hydroxyhexanoic acid,monomeros_degradacion,132.159,-4.354,-5.128,-4.411,-5.318,-3.345,-4.309,0.674461047108475,0.49021215537562773,0.5781597273670175,0.5644744929317763,0.6010719754977029,0.4746034289376702,0.5713171101493969,0.5823366012420513,0.4746034289376702,0.6010719754977029,0.964514279467824,0.7,0.2817868907266931,62.5,Moderado
Triethylenetetramine,oligomeros_unidades,146.238,-4.126,-4.457,-4.797,-5.182,-3.441,-3.591,0.7004676628265084,0.5589832940453008,0.5209660690472664,0.5811923786109404,0.5765696784073507,0.5896490946963627,0.5510792238291033,0.6297254784359045,0.5896490946963627,0.5765696784073507,0.8614307893074125,0.7,0.27998756609739117,62.11,Moderado
Biotin,ligandos_targeting,244.316,-6.318,-6.74,-5.654,-7.532,-4.323,-5.184,0.4504391468005019,0.3249974377370093,0.39398429396947704,0.2923171481253842,0.3514548238897396,0.3344015382150296,0.3431507210474306,0.3877182922687556,0.3344015382150296,0.3514548238897396,0.8627984372806989,1.0,0.27799700036694613,61.68,Moderado
Aspartic acid,ligandos_targeting,133.103,-4.451,-4.687,-4.945,-5.273,-2.969,-4.081,0.6633968290179081,0.5354104745311058,0.4990368943547192,0.5700061462814998,0.6970393057682491,0.511136035891684,0.5345215203181095,0.5994036517745069,0.511136035891684,0.6970393057682491,0.8771222797264997,0.7,0.27669934106064376,61.39,Moderado
Asparagine,ligandos_targeting,132.119,-4.392,-4.631,-4.843,-5.745,-3.19,-3.959,0.6701266111554693,0.5411499436302142,0.5141502444806638,0.5119852489244008,0.6406329760081675,0.5306841852267264,0.5130677467025323,0.6056382773928417,0.5306841852267264,0.6406329760081675,0.8333915637528518,0.7,0.2664372675944696,59.16,Moderado
Adipic acid,monomeros_degradacion,146.142,-4.68,-5.403,-4.73,-5.649,-3.496,-4.593,0.6372761491958481,0.4620272624782208,0.530893465698622,0.5237861094038108,0.5625319040326697,0.42909790097740746,0.5273397875512164,0.5496517058370345,0.42909790097740746,0.5625319040326697,0.9422642369373443,0.7,0.2625233867607032,58.31,Moderado
Dexamethasone,farmacos_modelo,392.467,-7.965,-7.97,-6.406,-7.441,-5.303,-6.139,0.2625755674689175,0.19893409859587988,0.28256037931545425,0.3035033804548249,0.1013272077590608,0.18138118891203328,0.29303187988513957,0.2307548330323987,0.18138118891203328,0.1013272077590608,1.2171380993448464,1.0,0.2594024078016152,57.63,Moderado
Arginylglycylaspartic acid,ligandos_targeting,346.344,-6.385,-7.414,-6.095,-7.853,-4.406,-5.118,0.44279685183072887,0.25591882750845546,0.3286412801896578,0.25285802089735715,0.33027054619703944,0.34497676654382303,0.2907496505435075,0.34935783966959216,0.34497676654382303,0.33027054619703944,0.8090811398767151,1.0,0.257597043063956,57.23,Moderado
L-Lactide,monomeros_degradacion,144.126,-4.625,-5.254,-4.847,-5.785,-3.139,-4.929,0.6435496749173035,0.47729834990263403,0.5135575640835679,0.5070682237246465,0.6536498213374171,0.37526037493991343,0.5103128939041073,0.5604240124099688,0.37526037493991343,0.6536498213374171,0.8946202873685144,0.7,0.252780494380229,56.18,Moderado
5-Fluorouracil,farmacos_modelo,130.078,-4.629,-5.127,-5.353,-5.667,-3.275,-4.48,0.6430934185011977,0.4903146458952547,0.438583493850941,0.5215734480639214,0.6189382337927515,0.44720397372215986,0.48007847095743117,0.5667040321982262,0.44720397372215986,0.6189382337927515,0.8324520796699014,0.7,0.24780229428442244,55.1,Moderado
4-Aminobenzoic acid,ligandos_targeting,137.138,-5.504,-6.038,-5.667,-6.44,-3.676,-5.115,0.5432873274780426,0.3969457825151173,0.39205808267891545,0.42655193607867237,0.5165900969882593,0.3454574587405864,0.4093050093787939,0.47011655499658,0.3454574587405864,0.5165900969882593,0.852511760153135,0.7,0.21735527918018016,48.46,Moderado
Gemcitabine,farmacos_modelo,263.2,-7.159,-7.002,-6.827,-7.736,-4.133,-6.016,0.3545112353142466,0.2981449215947525,0.22018076752111432,0.267240319606638,0.39994895354772847,0.20108956897933022,0.24371054356387617,0.3263280784544995,0.20108956897933022,0.39994895354772847,0.7246214609371272,1.0,0.21236235796606498,47.38,Moderado
Methyl acrylate,monomeros_degradacion,86.09,-3.886,-3.744,-3.431,-3.854,-2.369,-3.288,0.7278430477928596,0.6320590345393051,0.7233664246555045,0.7444376152427782,0.8501786625829505,0.63819900656946,0.7339020199491413,0.6799510411660823,0.63819900656946,0.8501786625829505,1.063701590635732,0.4,0.20728224297424297,46.27,Moderado
2-Aminoethanol,oligomeros_unidades,61.084,-2.818,-3.052,-3.628,-3.922,-2.621,-2.35,0.849663510893122,0.7029824741211438,0.6941769150985332,0.736078672403196,0.7858601327207759,0.7884954334241306,0.7151277937508647,0.7763229925071329,0.7884954334241306,0.7858601327207759,0.9094580732921625,0.4,0.20348236288777555,45.44,Moderado
Ethylenediamine,monomeros_degradacion,60.1,-2.873,-3.045,-3.607,-3.92,-2.662,-2.414,0.8433899851716664,0.7036999077585323,0.6972884871832864,0.7363245236631838,0.7753956100051047,0.7782406665598461,0.7168065054232351,0.7735449464650994,0.7782406665598461,0.7753956100051047,0.9148249997106745,0.4,0.20282502118675244,45.3,Moderado
Acrylic acid,oligomeros_unidades,72.063,-3.601,-3.702,-3.936,-4.126,-2.713,-3.096,0.7603513174404015,0.6363636363636364,0.6485405245221515,0.7110018438844499,0.762378764675855,0.6689633071623138,0.6797711842033007,0.6983574769020189,0.6689633071623138,0.762378764675855,0.9596442564229865,0.4,0.19335120061608202,43.23,Moderado
Ibuprofen,farmacos_modelo,206.285,-6.34,-7.041,-5.889,-8.798,-4.48,-6.156,0.4479297365119197,0.29414779132930197,0.35916432064009485,0.13669330055316536,0.3113833588565594,0.17865726646370778,0.2479288105966301,0.37103876392061086,0.17865726646370778,0.3113833588565594,0.6506655859514752,1.0,0.1879124492722249,42.05,Moderado
Glycolic acid,monomeros_degradacion,76.051,-3.28,-3.392,-4.193,-4.457,-2.751,-2.708,0.7969658948328961,0.6681356974479861,0.6104608090087421,0.6703134603564844,0.7526799387442573,0.731132831277039,0.6403871346826133,0.7325507961404412,0.731132831277039,0.7526799387442573,0.862415255644672,0.4,0.1867892934755532,41.8,Moderado
Doxorubicin,farmacos_modelo,543.525,-8.363,-9.209,-7.687,-7.741,-5.472,-7.271,0.21717805406638532,0.07194834477810802,0.09275448214550308,0.26662569145666876,0.05819295558958646,0.0,0.17969008680108592,0.14456319942224666,0.0,0.05819295558958646,1.1625670759453928,1.0,0.18177638966901083,40.71,Moderado
D-Lactic acid,monomeros_degradacion,90.078,-3.755,-3.908,-4.616,-4.899,-2.762,-3.187,0.7427854454203262,0.6152505893204879,0.5477848570158543,0.615980331899201,0.7498723838693211,0.6543823105271591,0.5818825944575277,0.679018017370407,0.6543823105271591,0.7498723838693211,0.8445099834663906,0.4,0.1737020140269731,38.95,Moderado
L-Lactic acid,monomeros_degradacion,90.078,-3.782,-3.911,-4.621,-4.892,-2.895,-3.184,0.7397057146116117,0.614943117761607,0.5470440065194844,0.6168408113091579,0.7159264931087289,0.6548630027239224,0.5819424089143211,0.6773244161866094,0.6548630027239224,0.7159264931087289,0.8466779226948385,0.4,0.17255387227141847,38.7,Moderado
Curcumin,farmacos_modelo,368.385,-7.624,-7.692,-7.458,-9.537,-4.858,-6.572,0.30147142694194135,0.22742646305216763,0.12668543487924142,0.04585125998770736,0.21490556406329772,0.11200128184585802,0.08626834743347439,0.2644489449970545,0.11200128184585802,0.21490556406329772,0.3143329533819132,1.0,0.08211899479665134,19.0,Desfavorable
Ammonia,oligomeros_unidades,17.031,-1.5,-1.577,-1.564,-1.775,-1.782,-1.03,1.0,0.8541559905708722,1.0,1.0,1.0,1.0,1.0,0.9270779952854361,1.0,1.0,1.0671470304831965,0.1,0.0674347467473083,15.8,Desfavorable
Methylamine,oligomeros_unidades,31.058,-1.828,-2.176,-2.12,-2.472,-2.158,-1.568,0.9625869738793202,0.7927641693143384,0.9176174248036746,0.914320835894284,0.9040326697294538,0.9137958660471078,0.9159691303489793,0.8776755715968293,0.9137958660471078,0.9040326697294538,1.0318737607043225,0.1,0.06191702236847712,14.59,Desfavorable
Sirolimus,farmacos_modelo,914.187,-7.353,-0.154,-7.721,-6.603,-5.523,-7.003,0.3323827991331128,1.0,0.08771669877018824,0.4065150583896743,0.04517611026033703,0.04294183624419161,0.24711587857993125,0.6661913995665564,0.04294183624419161,0.04517611026033703,0.36545256082572825,0.8,0.058451084906066965,13.84,Desfavorable
Folic acid,ligandos_targeting,441.404,-7.881,-9.781,-8.007,-9.669,-5.692,-6.836,0.27215695220714037,0.013323767551501385,0.04534005037783389,0.029625076828518705,0.002041858090862687,0.06970036853068412,0.0374825636031763,0.14274035987932088,0.06970036853068412,0.002041858090862687,0.24540051910831567,1.0,0.03990708285549949,9.8,Desfavorable
Methotrexate,farmacos_modelo,454.447,-8.128,-9.911,-8.313,-9.91,-5.7,-7.048,0.243983118512604,0.0,0.0,0.0,0.0,0.03573145329274153,0.0,0.121991559256302,0.03573145329274153,0.0,0.0,1.0,-0.005052865267081895,0.0,Desfavorable
