nombre,grupo,smiles,MW,ExactMW,LogP,TPSA,HBD,HBA,RotBonds,NumRings,NumArRings,NumHetAt,NumHeavyAt,NumAtoms,NumBonds,Charge,Lipinski_MW,Lipinski_LogP,Lipinski_HBD,Lipinski_HBA,Lipinski_OK,QED,FractionCSP3,NumStereocenters,NumAmideBonds,MR,LabuteASA,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,Kappa3,NumOH,NumNH,NumCOOH,NumEster,NumAmide,NumAmine,NumHydrolyzable
L-Lactic acid,monomeros_degradacion,CC(C(=O)O)O,90.078,90.032,-0.548,57.53,2,2,1,0,0,3,6,6,5,0,1,1,1,1,1,0.4539,0.6667,1,0,19.317,35.219,57.059,3.38,1.552,5.43,1.7676,1.7215,2,0,1,0,0,0,0
D-Lactic acid,monomeros_degradacion,CC(C(=O)O)O,90.078,90.032,-0.548,57.53,2,2,1,0,0,3,6,6,5,0,1,1,1,1,1,0.4539,0.6667,1,0,19.317,35.219,57.059,3.38,1.552,5.43,1.7676,1.7215,2,0,1,0,0,0,0
Glycolic acid,monomeros_degradacion,C(C(=O)O)O,76.051,76.016,-0.937,57.53,2,2,1,0,0,3,5,5,4,0,1,1,1,1,1,0.4236,0.5,0,0,14.722,28.854,40.158,2.5098,1.0975,4.43,1.7215,3.43,2,0,1,0,0,0,0
Succinic acid,monomeros_degradacion,C(CC(=O)O)C(=O)O,118.088,118.027,-0.064,74.6,2,2,3,0,0,4,8,8,7,0,1,1,1,1,1,0.5438,0.5,0,0,24.506,45.746,92.606,4.1251,2.0626,6.94,3.0097,4.94,2,0,2,0,0,0,0
Glutaric acid,monomeros_degradacion,C(CC(=O)O)CC(=O)O,132.115,132.042,0.326,74.6,2,2,4,0,0,4,9,9,8,0,1,1,1,1,1,0.5774,0.6,0,0,29.123,52.111,104.126,4.8322,2.5626,7.94,3.8841,6.94,2,0,2,0,0,0,0
Adipic acid,monomeros_degradacion,C(CCC(=O)O)CC(=O)O,146.142,146.058,0.716,74.6,2,2,5,0,0,4,10,10,9,0,1,1,1,1,1,0.5601,0.6667,0,0,33.74,58.475,113.71,5.5394,3.0626,8.94,4.7848,6.94,2,0,2,0,0,0,0
6-Hydroxyhexanoic acid,monomeros_degradacion,C(CCC(=O)O)CCO,132.159,132.079,0.624,57.53,2,2,5,0,0,3,9,9,8,0,1,1,1,1,1,0.5391,0.8333,0,0,33.19,54.314,80.372,5.3382,3.0975,8.43,5.5646,7.43,2,0,1,0,0,0,0
6-Hydroxycaproic acid,monomeros_degradacion,C(CCC(=O)O)CCO,132.159,132.079,0.624,57.53,2,2,5,0,0,3,9,9,8,0,1,1,1,1,1,0.5391,0.8333,0,0,33.19,54.314,80.372,5.3382,3.0975,8.43,5.5646,7.43,2,0,1,0,0,0,0
epsilon-Caprolactone,monomeros_degradacion,C1CCC(=O)OCC1,114.144,114.068,1.104,26.3,0,2,0,1,0,2,8,8,8,0,1,1,1,1,1,0.4407,0.8333,0,0,29.427,48.833,78.529,4.852,3.0505,5.6039,2.6984,1.5235,0,0,0,1,0,0,1
Glucosamine,monomeros_degradacion,C(C1C(C(C(C(O1)O)N)O)O)O,179.172,179.079,-3.255,116.17,5,6,1,1,0,6,12,12,12,0,1,1,1,1,1,0.2884,1.0,5,0,37.955,69.189,150.119,6.3683,3.6371,9.845,3.6489,1.5818,4,1,0,0,0,1,0
N-Acetylglucosamine,monomeros_degradacion,CC(=O)NC(C=O)C(C(C(CO)O)O)O,221.209,221.09,-3.235,127.09,5,6,6,0,0,7,15,15,14,0,1,1,1,1,1,0.3,0.75,4,1,48.775,86.344,221.177,8.1992,4.3109,13.98,6.4612,4.344,4,1,0,0,1,0,1
Ethylenediamine,monomeros_degradacion,C(CN)N,60.1,60.069,-1.096,52.04,2,2,1,0,0,2,4,4,3,0,1,1,1,1,1,0.4035,1.0,0,0,18.109,25.784,6.0,2.5689,1.3165,3.92,2.92,1.92,0,2,0,0,0,2,0
Methyl acrylate,monomeros_degradacion,COC(=O)C=C,86.09,86.037,0.345,26.3,0,2,1,0,0,2,6,6,5,0,1,1,1,1,1,0.3396,0.25,0,0,22.213,36.42,65.948,3.601,1.5134,5.21,2.4475,1.5215,0,0,0,1,0,0,1
L-Lactide,monomeros_degradacion,CC1C(=O)OC(C(=O)O1)C,144.126,144.042,-0.137,52.6,0,4,0,1,0,4,10,10,10,0,1,1,1,1,1,0.444,0.6667,2,0,31.108,58.108,154.587,5.7877,3.02,7.0519,2.2839,1.0971,0,0,0,2,0,0,2
Glycolide,monomeros_degradacion,C1C(=O)OCC(=O)O1,116.072,116.011,-0.914,52.6,0,4,0,1,0,4,8,8,8,0,1,1,1,1,1,0.3842,0.5,0,0,21.918,45.378,100.0,4.0472,2.101,5.0841,1.8137,0.9595,0,0,0,2,0,0,2
Diethylenetriamine,oligomeros_unidades,C(CNCCN)N,103.169,103.111,-1.507,64.07,3,3,4,0,0,3,7,7,6,0,1,1,1,1,1,0.3791,1.0,0,0,30.978,44.064,26.116,4.4831,2.5236,6.88,5.88,5.88,0,3,0,0,0,3,0
Triethylenetetramine,oligomeros_unidades,C(CNCCNCCN)N,146.238,146.153,-1.917,76.1,4,4,7,0,0,4,10,10,9,0,1,1,1,1,1,0.3159,1.0,0,0,43.848,62.343,49.71,6.3973,3.7307,9.84,8.84,7.84,0,4,0,0,0,4,0
Tetraethylenepentamine,oligomeros_unidades,C(CNCCNCCNCCN)N,189.307,189.195,-2.327,88.13,5,5,10,0,0,5,13,13,12,0,1,1,1,1,1,0.2489,1.0,0,0,56.718,80.623,78.604,8.3116,4.9378,12.8,11.8,11.8,0,5,0,0,0,5,0
Pentaethylenehexamine,oligomeros_unidades,C(CNCCNCCNCCNCCN)N,232.376,232.238,-2.738,100.16,6,6,13,0,0,6,16,16,15,0,1,1,0,1,1,0.1928,1.0,0,0,69.588,98.903,107.877,10.2258,6.1449,15.76,14.76,13.76,0,6,0,0,0,6,0
Tris(2-aminoethyl)amine,oligomeros_unidades,C(CN(CCN)CCN)N,146.238,146.153,-1.835,81.3,3,4,6,0,0,4,10,10,9,0,1,1,1,1,1,0.4113,1.0,0,0,43.603,62.343,52.503,6.4219,3.6734,9.84,6.9531,4.6938,0,3,0,0,0,3,0
"N,N'-Bis(2-aminoethyl)ethylenediamine",oligomeros_unidades,C(CNCCNCCN)N,146.238,146.153,-1.917,76.1,4,4,7,0,0,4,10,10,9,0,1,1,1,1,1,0.3159,1.0,0,0,43.848,62.343,49.71,6.3973,3.7307,9.84,8.84,7.84,0,4,0,0,0,4,0
Methylamine,oligomeros_unidades,CN,31.058,31.042,-0.425,26.02,1,1,0,0,0,1,2,2,1,0,1,1,1,1,1,0.3847,1.0,0,0,10.111,14.079,2.0,1.5774,0.5774,1.96,0.96,-27.04,0,1,0,0,0,1,0
Ammonia,oligomeros_unidades,N,17.031,17.027,0.162,35.0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0.3976,0.0,0,0,5.022,7.504,0.0,0.7071,0.0,0.96,-27.04,-104.04,0,1,0,0,0,0,0
2-Aminoethanol,oligomeros_unidades,C(CO)N,61.084,61.053,-1.063,46.25,2,2,1,0,0,2,4,4,3,0,1,1,1,1,1,0.4056,1.0,0,0,16.14,25.238,8.0,2.4388,1.2245,3.92,2.92,1.92,1,1,0,0,0,1,0
2-(2-Aminoethoxy)ethanol,oligomeros_unidades,C(COCCO)N,105.137,105.079,-1.046,55.48,2,3,4,0,0,3,7,7,6,0,1,1,1,1,1,0.4486,1.0,0,0,26.959,43.082,28.871,4.2612,2.3018,6.88,5.88,5.88,1,1,0,0,0,1,0
Bis(2-aminoethyl) ether,oligomeros_unidades,C(COCCN)N,104.153,104.095,-1.08,61.27,2,3,4,0,0,3,7,7,6,0,1,1,1,1,1,0.4459,1.0,0,0,28.928,43.627,28.871,4.3914,2.3938,6.88,5.88,5.88,0,2,0,0,0,2,0
Methyl 3-aminopropionate,oligomeros_unidades,COC(=O)CCN,103.121,103.063,-0.492,52.32,1,3,2,0,0,3,7,7,6,0,1,1,1,1,1,0.4796,0.75,0,0,25.687,42.449,62.71,4.3081,2.0783,6.43,3.6142,3.2552,0,1,0,1,0,1,1
Ethyl acrylate,oligomeros_unidades,CCOC(=O)C=C,100.117,100.052,0.736,26.3,0,2,2,0,0,2,7,7,6,0,1,1,1,1,1,0.3775,0.4,0,0,26.83,42.784,76.149,4.3081,2.101,6.21,3.4019,3.0289,0,0,0,1,0,0,1
Methyl methacrylate,oligomeros_unidades,CC(=C)C(=O)OC,100.117,100.052,0.736,26.3,0,2,1,0,0,2,7,7,6,0,1,1,1,1,1,0.3585,0.4,0,0,26.83,42.784,94.253,4.5236,1.92,6.21,2.3945,1.9778,0,0,0,1,0,0,1
Acrylic acid,oligomeros_unidades,C=CC(=O)O,72.063,72.021,0.257,37.3,1,1,1,0,0,2,5,5,4,0,1,1,1,1,1,0.4509,0.0,0,0,17.833,29.735,55.913,2.6399,1.1247,4.21,1.5215,3.21,1,0,1,0,0,0,0
Lactic acid dimer,oligomeros_unidades,CC(C(=O)OC(C)C(=O)O)O,162.141,162.053,-0.616,83.83,2,4,3,0,0,5,11,11,10,0,1,1,1,1,1,0.5403,0.6667,2,0,34.871,63.589,162.356,6.2739,3.0619,9.9,3.9224,3.5664,2,0,1,1,0,0,1
Lactic acid trimer,oligomeros_unidades,CC(C(=O)OC(C)C(=O)OC(C)C(=O)O)O,234.204,234.074,-0.685,110.13,2,6,5,0,0,7,16,16,15,0,1,1,1,1,1,0.6058,0.6667,3,0,50.425,91.959,283.582,9.1677,4.5719,14.37,6.0625,4.7388,2,0,1,2,0,0,2
Diglycolic acid,oligomeros_unidades,C(C(=O)O)OCC(=O)O,134.087,134.022,-0.828,83.83,2,3,4,0,0,5,9,9,8,0,1,1,1,1,1,0.524,0.5,0,0,26.091,50.859,104.126,4.5334,2.1399,7.9,3.8486,6.9,2,0,2,0,0,0,0
Chitobiose,oligomeros_unidades,C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)N)O)N)O)O)O,340.329,340.148,-5.622,208.95,8,11,8,1,0,11,23,23,23,0,1,1,0,0,0,0.1952,0.9167,9,0,73.748,131.582,372.441,12.2504,6.9936,20.3149,8.9376,4.6373,6,2,0,0,0,2,0
Chitotriose,oligomeros_unidades,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)N)OC(C(CO)O)C(C(C=O)N)O)CO)N)O)O)O,501.486,501.217,-7.831,293.89,11,16,11,2,0,16,34,34,35,0,0,1,0,0,0,0.1171,0.9444,14,0,108.35,193.921,631.9,18.1326,10.5857,29.3014,12.8573,6.2453,8,3,0,0,0,3,0
Doxorubicin,farmacos_modelo,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.525,543.174,0.001,206.07,6,12,5,5,2,12,39,39,43,0,0,1,0,0,0,0.2353,0.4444,6,0,131.754,222.081,1376.519,21.2101,12.4118,27.1873,9.6625,4.1118,5,1,0,0,0,1,0
Paclitaxel,farmacos_modelo,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,853.918,853.331,3.736,221.29,4,14,10,7,3,15,62,62,68,0,0,1,1,0,0,0.1298,0.4468,11,1,217.69,357.885,2280.346,35.2327,20.4728,44.3204,16.5128,7.2944,3,1,0,4,1,0,5
5-Fluorouracil,farmacos_modelo,C1=C(C(=O)NC(=O)N1)F,130.078,130.018,-0.798,65.72,2,2,0,1,1,5,9,9,9,0,1,1,1,1,1,0.4826,0.0,0,0,27.641,48.359,312.834,4.2718,2.1746,5.7414,1.848,1.0422,0,2,0,0,0,0,0
Methotrexate,farmacos_modelo,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,454.447,454.171,0.268,210.54,5,10,9,3,3,13,33,33,35,0,1,1,1,1,1,0.2947,0.25,1,1,118.262,187.031,1201.029,17.5954,9.7502,23.1202,9.7196,5.7825,2,3,2,0,1,2,1
Curcumin,farmacos_modelo,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,368.385,368.126,3.37,93.06,2,6,8,2,2,6,27,27,28,0,1,1,1,1,1,0.5481,0.1429,0,0,102.017,156.532,822.04,15.008,8.0847,19.7804,9.2388,5.7434,2,0,0,0,0,0,0
Cisplatin,farmacos_modelo,N.N.Cl[Pt]Cl,300.046,298.956,1.7,70.0,2,2,0,0,0,5,5,5,2,0,1,1,1,1,1,0.7146,0.0,0,0,21.75,47.772,7.61,6.2704,5.87,16.3871,19.0058,37.3497,0,2,0,0,0,0,0
Gemcitabine,farmacos_modelo,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,263.2,263.072,-1.289,110.6,3,7,2,2,1,9,18,18,19,0,1,1,1,1,1,0.6121,0.5556,3,0,54.859,99.434,506.831,9.0325,5.0448,12.8661,4.2646,1.8547,2,1,0,0,0,1,0
Sirolimus,farmacos_modelo,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,914.187,913.555,6.181,195.43,3,13,6,4,0,14,65,65,68,0,0,0,1,0,0,0.1555,0.7451,15,1,245.137,386.722,1755.501,40.6107,23.924,54.2374,25.1255,14.3224,3,0,0,1,1,0,2
Dexamethasone,farmacos_modelo,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,392.467,392.2,1.896,94.83,3,5,2,4,0,6,28,28,31,0,1,1,1,1,1,0.6672,0.7273,8,0,99.944,163.872,804.749,16.6131,10.1423,19.9253,5.8327,2.0143,3,0,0,0,0,0,0
Ibuprofen,farmacos_modelo,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.285,206.131,3.073,37.3,1,1,4,1,1,2,15,15,15,0,1,1,1,1,1,0.8216,0.4615,1,0,61.035,90.942,324.894,9.5267,5.3203,11.763,4.9645,3.3876,1,0,1,0,0,0,0
Folic acid,ligandos_targeting,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,441.404,441.14,-0.045,213.28,6,9,9,3,3,13,32,32,34,0,1,1,0,1,1,0.2589,0.2105,1,1,111.895,179.278,1225.059,16.5318,9.3349,22.1423,9.5071,5.5304,2,4,2,0,1,2,1
Biotin,ligandos_targeting,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,244.316,244.088,0.797,78.43,3,3,5,2,0,6,16,16,17,0,1,1,1,1,1,0.4935,0.8,3,2,61.593,98.352,297.789,9.756,6.6191,11.5718,4.9476,2.6072,1,2,1,0,2,0,2
D-Mannose,ligandos_targeting,C(C1C(C(C(C(O1)O)O)O)O)O,180.156,180.063,-3.221,110.38,5,6,1,1,0,6,12,12,12,0,1,1,1,1,1,0.2902,1.0,5,0,35.986,68.643,146.219,6.2382,3.562,9.845,3.6489,1.5818,5,0,0,0,0,0,0
D-Galactose,ligandos_targeting,C(C1C(C(C(C(O1)O)O)O)O)O,180.156,180.063,-3.221,110.38,5,6,1,1,0,6,12,12,12,0,1,1,1,1,1,0.2902,1.0,5,0,35.986,68.643,146.219,6.2382,3.562,9.845,3.6489,1.5818,5,0,0,0,0,0,0
N-Acetylneuraminic acid,ligandos_targeting,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,309.271,309.106,-3.872,176.78,7,8,5,1,0,10,21,21,21,0,1,1,0,1,1,0.2675,0.8182,6,1,64.787,119.135,403.155,11.209,6.1782,17.7508,6.6416,3.8721,6,1,1,0,1,0,1
Glucuronic acid,ligandos_targeting,C1(C(C(OC(C1O)O)C(=O)O)O)O,194.139,194.043,-3.129,127.45,5,6,1,1,0,7,13,13,13,0,1,1,1,1,1,0.2984,0.8333,5,0,36.536,72.804,205.159,6.4393,3.5539,10.3515,3.5611,1.7885,5,0,1,0,0,0,0
Glucosamine-6-sulfate,ligandos_targeting,C(C1C(C(C(C(O1)O)N)O)O)OS(=O)(=O)O,259.236,259.036,-3.428,159.54,5,8,3,1,0,10,16,16,16,0,1,1,1,1,1,0.3249,1.0,5,0,48.369,91.345,331.42,8.8178,5.6573,13.7338,4.8929,3.3302,4,1,0,0,0,1,0
Chondroitin sulfate disaccharide,ligandos_targeting,CC(=O)NC1C(C(C(OC1O)CO)OS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)O)O)O)OS(=O)(=O)[O-],555.445,555.021,-6.192,307.87,6,17,9,2,0,21,35,35,36,-2,0,1,0,0,0,0.1137,0.8571,10,1,97.894,196.559,985.161,18.9734,12.0106,29.6292,11.2027,7.6899,5,1,1,0,1,0,1
Arginylglycylaspartic acid,ligandos_targeting,C(CC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)O)N)CN=C(N)N,346.344,346.16,-3.472,223.22,7,6,11,0,0,12,24,24,23,0,1,1,0,1,1,0.1118,0.5833,2,2,82.715,137.003,504.267,12.8969,6.9574,21.11,10.7726,9.9404,2,5,2,0,2,3,2
Asparagine,ligandos_targeting,C(C(C(=O)O)N)C(=O)N,132.119,132.053,-1.726,106.41,3,3,3,0,0,5,9,9,8,0,1,1,1,1,1,0.4239,0.5,1,1,29.423,51.631,133.774,4.7029,2.3043,7.9,3.0323,3.4797,1,2,1,0,1,1,1
Arginine,ligandos_targeting,C(CC(C(=O)O)N)CN=C(N)N,174.204,174.112,-1.548,127.72,4,3,5,0,0,6,12,12,11,0,1,1,1,1,1,0.2278,0.6667,1,0,45.522,70.435,176.387,6.7334,3.5752,10.7,5.3634,5.4822,1,3,1,0,0,3,0
Aspartic acid,ligandos_targeting,C(C(C(=O)O)N)C(=O)O,133.103,133.038,-1.127,100.62,3,3,3,0,0,5,9,9,8,0,1,1,1,1,1,0.452,0.5,1,0,27.864,51.085,132.529,4.5727,2.2393,7.9,3.0323,3.4797,2,1,2,0,0,1,0
4-Aminobenzoic acid,ligandos_targeting,C1=CC(=CC=C1C(=O)O)N,137.138,137.048,0.967,63.32,2,2,1,1,1,3,10,10,10,0,1,1,1,1,1,0.5666,0.0,0,0,37.814,58.092,240.288,5.2422,2.7878,6.6078,2.3896,1.2539,1,1,1,0,0,1,0
"2,2'-Iminodiethanol",ligandos_targeting,C(CO)NCCO,105.137,105.079,-1.439,52.49,3,3,4,0,0,3,7,7,6,0,1,1,1,1,1,0.3837,1.0,0,0,27.041,42.972,28.871,4.2229,2.3396,6.88,5.88,5.88,2,1,0,0,0,1,0
Triethylene glycol,ligandos_targeting,C(COCCOCCO)O,150.174,150.089,-0.996,58.92,2,4,7,0,0,4,10,10,9,0,1,1,1,1,1,0.4571,1.0,0,0,35.81,60.38,49.71,5.9536,3.2872,9.84,8.84,7.84,2,0,0,0,0,0,0
